,wyId,FKGoalsOverExpected,count,TotalFKGoalsOverExpected,Full Name,shortName
23856,247222,-0.06051788448112408,11,-0.6656967292923649,\u00c1lvaro Medr\u00e1n Just,Medr\u00e1n
23988,292991,-0.061033126510366346,11,-0.6713643916140298,Mauricio Lemos Merladet,M. Lemos
25322,346101,-0.0672485371109575,10,-0.6724853711095751,Trent Alexander-Arnold,T. Alexander-Arnold
9154,209400,-0.03204784488223239,21,-0.6730047425268801,Domenico Berardi,D. Berardi
17073,3334,-0.04553507190361077,15,-0.6830260785541616,Daniel Alves da Silva,Dani Alves
7484,14922,-0.030078396006666553,23,-0.6918031081533307,Ricardo Iv\u00e1n Rodr\u00edguez Araya,R. Rodr\u00edguez
9068,343925,-0.03178327534290722,22,-0.6992320575439589,Daniele Verde,D. Verde
1892,28990,-0.0077719619217675295,90,-0.6994765729590776,Dimitri Li\u00e9nard,D. Li\u00e9nard
8313,50812,-0.030850683100635233,23,-0.7095657113146103,Jimmy Durmaz,J. Durmaz
15612,120353,-0.0417499765607639,17,-0.7097496015329863,Mohamed  Salah Ghaly,Mohamed Salah
25095,26314,-0.0651991538562863,11,-0.7171906924191493,Lucas Deaux,L. Deaux
21602,3843,-0.05522236395674707,13,-0.7178907314377119,Fabi\u00e1n Ariel Orellana Valenzuela,F. Orellana
25936,8116,-0.0798243735246383,9,-0.7184193617217447,Nathan Redmond,N. Redmond
16959,26508,-0.04502687292505963,16,-0.7204299668009541,Renaud Cohade,R. Cohade
9958,169002,-0.03274737327224258,22,-0.7204422119893368,Diego Rico Salguero,Diego Rico
15183,15276,-0.04106241560824089,18,-0.739123480948336,Mitchell Weiser,M. Weiser
24392,14997,-0.061963515366620536,12,-0.7435621843994464,Jonathan Schmid,J. Schmid
25384,40614,-0.06841471916143191,11,-0.752561910775751,Guilherme dos Santos Torres,Guilherme
23428,8533,-0.05962789223477527,13,-0.7751625990520785,St\u00e9phane Sess\u00e8gnon,S. Sess\u00e8gnon
23687,136011,-0.06034872050023624,13,-0.7845333665030712,Mijat Ga\u0107inovi\u0107,M. Ga\u0107inovi\u0107
23703,22323,-0.06041395396164052,13,-0.7853814015013267,Ledian Memushaj,L. Memushaj
22045,276920,-0.056339271083661935,14,-0.7887497951712671,Valent\u00edn Vada,V. Vada
25255,16303,-0.06684475084285355,12,-0.8021370101142425,Danny Latza,D. Latza
19007,22566,-0.050235179753087784,16,-0.8037628760494046,Alessandro  Florenzi,A. Florenzi
7005,3293,-0.029162811047361452,28,-0.8165587093261206,Pablo Daniel Piatti,P. Piatti
18138,8561,-0.04807585709500573,17,-0.8172895706150974,Mark Noble,M. Noble
2532,40301,-0.014628118368751452,56,-0.8191746286500813,Lucas Pedro Alves De Lima,Lucas Lima
25773,65596,-0.07550541904833201,11,-0.8305596095316521,Marcel Sabitzer,M. Sabitzer
24893,15811,-0.06441393833808468,13,-0.8373811983951007,Sebastian Rudy,S. Rudy
11965,134174,-0.034947787383956215,24,-0.8387468972149492,Samuel  Castillejo Azuaga,Samu Castillejo
20156,7936,-0.05254774627527427,16,-0.8407639404043883,Paul Pogba,P. Pogba
2935,25407,-0.019631788720855473,43,-0.8441669149967853,Cl\u00e9ment Grenier,C. Grenier
23673,265807,-0.060325598668278725,14,-0.8445583813559021,Jos\u00e9 Manuel Garc\u00eda Naranjo,Jos\u00e9 Naranjo
7578,3645,-0.030193207676572357,28,-0.845409814944026,Gonzalo Castro Iriz\u00e1bal,Chory Castro
23873,116171,-0.06067019383314958,14,-0.8493827136640941,Jo\u00e3o Pedro Geraldino dos Santos Galv\u00e3o,Jo\u00e3o Pedro
5325,7939,-0.026616826065884173,32,-0.8517384341082935,Ashley  Young,A. Young
22591,258162,-0.05723411953109495,15,-0.8585117929664243,Renato J\u00fanior Luz Sanches,Renato Sanches
8251,127537,-0.030827433362908236,28,-0.8631681341614306,Luka Milivojevi\u0107,L. Milivojevi\u0107
9227,8317,-0.032152313048864616,27,-0.8681124523193446,David Josu\u00e9 Jim\u00e9nez Silva,David Silva
11998,234527,-0.034990605803000986,25,-0.8747651450750247,Alen Halilovi\u0107,A. Halilovi\u0107
10933,83836,-0.03399130661209066,26,-0.8837739719143572,Alexandru Iulian Maxim,A. Maxim
25752,4969,-0.07517909944835217,12,-0.9021491933802261,Pedro Tanaus\u00fa Dom\u00ednguez Placeres,Tana
5667,3974,-0.02699844198774486,34,-0.9179470275833252,Dami\u00e1n Nicol\u00e1s Su\u00e1rez Su\u00e1rez,D. Su\u00e1rez
